graphs,"no-fusion,no-paral","fusion,no-paral","no-fusion,paral","fusion,paral"
bcsstk17,0.4802149000000001,0.49746809999999997,0.0657266,0.6028394999999999
pdb1HYS,2.0984015,2.0909001,0.27532270000000003,6.026829
rma10,2.1723983,2.1962487000000004,0.3054406,3.3296429000000005
cant,3.0157999,3.0604612999999996,0.39604930000000005,5.325782800000001
consph,4.2183835,4.1976625,0.5731202000000001,8.1582061
pwtk,9.992539700000002,10.335298300000002,1.3733565,16.050743500000003
shipsec1,6.6304909,6.776442899999999,0.9631855,10.4131828
cop20k_A,5.30729,5.344797099999999,1.0096307999999998,3.9196261
scircuit,7.0805545,6.932175299999999,1.033031,1.7784663000000003
mac_econ_fwd500,8.308419699999998,8.2621102,1.1870304999999999,2.1373282000000002
